| module                                                                           | #parameters or shape      | #flops        |
|      backbone.body.trunk1.fbnetv2_1_2.dw.conv.weight                             |      (72, 1, 5, 5)        |               |
|     backbone.body.trunk1.fbnetv2_1_2.pwl                                         |     1.776K                |     7.388M    |
|      backbone.body.trunk1.fbnetv2_1_2.pwl.conv                                   |      1.728K               |      7.188M   |
|       backbone.body.trunk1.fbnetv2_1_2.pwl.conv.weight                           |       (24, 72, 1, 1)      |               |
|      backbone.body.trunk1.fbnetv2_1_2.pwl.bn                                     |      48                   |      0.2M     |
|       backbone.body.trunk1.fbnetv2_1_2.pwl.bn.weight                             |       (24,)               |               |
|       backbone.body.trunk1.fbnetv2_1_2.pwl.bn.bias                               |       (24,)               |               |
|    backbone.body.trunk1.fbnetv2_1_3                                              |    5.448K                 |    22.664M    |
|     backbone.body.trunk1.fbnetv2_1_3.pw                                          |     1.872K                |     7.788M    |
|      backbone.body.trunk1.fbnetv2_1_3.pw.conv                                    |      1.728K               |      7.188M   |
|       backbone.body.trunk1.fbnetv2_1_3.pw.conv.weight                            |       (72, 24, 1, 1)      |               |
|      backbone.body.trunk1.fbnetv2_1_3.pw.bn                                      |      0.144K               |      0.599M   |
|       backbone.body.trunk1.fbnetv2_1_3.pw.bn.weight                              |       (72,)               |               |
|       backbone.body.trunk1.fbnetv2_1_3.pw.bn.bias                                |       (72,)               |               |
|     backbone.body.trunk1.fbnetv2_1_3.dw.conv                                     |     1.8K                  |     7.488M    |
|      backbone.body.trunk1.fbnetv2_1_3.dw.conv.weight                             |      (72, 1, 5, 5)        |               |
|     backbone.body.trunk1.fbnetv2_1_3.pwl                                         |     1.776K                |     7.388M    |
|      backbone.body.trunk1.fbnetv2_1_3.pwl.conv                                   |      1.728K               |      7.188M   |
|       backbone.body.trunk1.fbnetv2_1_3.pwl.conv.weight                           |       (24, 72, 1, 1)      |               |
|      backbone.body.trunk1.fbnetv2_1_3.pwl.bn                                     |      48                   |      0.2M     |
|       backbone.body.trunk1.fbnetv2_1_3.pwl.bn.weight                             |       (24,)               |               |
|       backbone.body.trunk1.fbnetv2_1_3.pwl.bn.bias                               |       (24,)               |               |
|   backbone.body.trunk2                                                           |   48.736K                 |   39.222M     |
|    backbone.body.trunk2.fbnetv2_2_0                                              |    12.76K                 |    16.245M    |
|     backbone.body.trunk2.fbnetv2_2_0.pw                                          |     2.496K                |     10.383M   |
|      backbone.body.trunk2.fbnetv2_2_0.pw.conv                                    |      2.304K               |      9.585M   |
|       backbone.body.trunk2.fbnetv2_2_0.pw.conv.weight                            |       (96, 24, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_0.pw.bn                                      |      0.192K               |      0.799M   |
|       backbone.body.trunk2.fbnetv2_2_0.pw.bn.weight                              |       (96,)               |               |
|       backbone.body.trunk2.fbnetv2_2_0.pw.bn.bias                                |       (96,)               |               |
|     backbone.body.trunk2.fbnetv2_2_0.dw.conv                                     |     2.4K                  |     2.496M    |
|      backbone.body.trunk2.fbnetv2_2_0.dw.conv.weight                             |      (96, 1, 5, 5)        |               |
|     backbone.body.trunk2.fbnetv2_2_0.se                                          |     4.728K                |     0.104M    |
|      backbone.body.trunk2.fbnetv2_2_0.se.se                                      |      4.728K               |      4.608K   |
|       backbone.body.trunk2.fbnetv2_2_0.se.se.0.conv                              |       2.328K              |       2.304K  |
|        backbone.body.trunk2.fbnetv2_2_0.se.se.0.conv.weight                      |        (24, 96, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_0.se.se.0.conv.bias                        |        (24,)              |               |
|       backbone.body.trunk2.fbnetv2_2_0.se.se.1                                   |       2.4K                |       2.304K  |
|        backbone.body.trunk2.fbnetv2_2_0.se.se.1.weight                           |        (96, 24, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_0.se.se.1.bias                             |        (96,)              |               |
|      backbone.body.trunk2.fbnetv2_2_0.se.avg_pool                                |                           |      99.84K   |
|     backbone.body.trunk2.fbnetv2_2_0.pwl                                         |     3.136K                |     3.261M    |
|      backbone.body.trunk2.fbnetv2_2_0.pwl.conv                                   |      3.072K               |      3.195M   |
|       backbone.body.trunk2.fbnetv2_2_0.pwl.conv.weight                           |       (32, 96, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_0.pwl.bn                                     |      64                   |      66.56K   |
|       backbone.body.trunk2.fbnetv2_2_0.pwl.bn.weight                             |       (32,)               |               |
|       backbone.body.trunk2.fbnetv2_2_0.pwl.bn.bias                               |       (32,)               |               |
|    backbone.body.trunk2.fbnetv2_2_1                                              |    11.992K                |    7.659M     |
|     backbone.body.trunk2.fbnetv2_2_1.pw                                          |     3.264K                |     3.395M    |
|      backbone.body.trunk2.fbnetv2_2_1.pw.conv                                    |      3.072K               |      3.195M   |
|       backbone.body.trunk2.fbnetv2_2_1.pw.conv.weight                            |       (96, 32, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_1.pw.bn                                      |      0.192K               |      0.2M     |
|       backbone.body.trunk2.fbnetv2_2_1.pw.bn.weight                              |       (96,)               |               |
|       backbone.body.trunk2.fbnetv2_2_1.pw.bn.bias                                |       (96,)               |               |
|     backbone.body.trunk2.fbnetv2_2_1.dw.conv                                     |     0.864K                |     0.899M    |
|      backbone.body.trunk2.fbnetv2_2_1.dw.conv.weight                             |      (96, 1, 3, 3)        |               |
|     backbone.body.trunk2.fbnetv2_2_1.se                                          |     4.728K                |     0.104M    |
|      backbone.body.trunk2.fbnetv2_2_1.se.se                                      |      4.728K               |      4.608K   |
|       backbone.body.trunk2.fbnetv2_2_1.se.se.0.conv                              |       2.328K              |       2.304K  |
|        backbone.body.trunk2.fbnetv2_2_1.se.se.0.conv.weight                      |        (24, 96, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_1.se.se.0.conv.bias                        |        (24,)              |               |
|       backbone.body.trunk2.fbnetv2_2_1.se.se.1                                   |       2.4K                |       2.304K  |
|        backbone.body.trunk2.fbnetv2_2_1.se.se.1.weight                           |        (96, 24, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_1.se.se.1.bias                             |        (96,)              |               |
|      backbone.body.trunk2.fbnetv2_2_1.se.avg_pool                                |                           |      99.84K   |
|     backbone.body.trunk2.fbnetv2_2_1.pwl                                         |     3.136K                |     3.261M    |
|      backbone.body.trunk2.fbnetv2_2_1.pwl.conv                                   |      3.072K               |      3.195M   |
|       backbone.body.trunk2.fbnetv2_2_1.pwl.conv.weight                           |       (32, 96, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_1.pwl.bn                                     |      64                   |      66.56K   |
|       backbone.body.trunk2.fbnetv2_2_1.pwl.bn.weight                             |       (32,)               |               |
|       backbone.body.trunk2.fbnetv2_2_1.pwl.bn.bias                               |       (32,)               |               |
|    backbone.body.trunk2.fbnetv2_2_2                                              |    11.992K                |    7.659M     |
|     backbone.body.trunk2.fbnetv2_2_2.pw                                          |     3.264K                |     3.395M    |
|      backbone.body.trunk2.fbnetv2_2_2.pw.conv                                    |      3.072K               |      3.195M   |
|       backbone.body.trunk2.fbnetv2_2_2.pw.conv.weight                            |       (96, 32, 1, 1)      |               |
|      backbone.body.trunk2.fbnetv2_2_2.pw.bn                                      |      0.192K               |      0.2M     |
|       backbone.body.trunk2.fbnetv2_2_2.pw.bn.weight                              |       (96,)               |               |
|       backbone.body.trunk2.fbnetv2_2_2.pw.bn.bias                                |       (96,)               |               |
|     backbone.body.trunk2.fbnetv2_2_2.dw.conv                                     |     0.864K                |     0.899M    |
|      backbone.body.trunk2.fbnetv2_2_2.dw.conv.weight                             |      (96, 1, 3, 3)        |               |
|     backbone.body.trunk2.fbnetv2_2_2.se                                          |     4.728K                |     0.104M    |
|      backbone.body.trunk2.fbnetv2_2_2.se.se                                      |      4.728K               |      4.608K   |
|       backbone.body.trunk2.fbnetv2_2_2.se.se.0.conv                              |       2.328K              |       2.304K  |
|        backbone.body.trunk2.fbnetv2_2_2.se.se.0.conv.weight                      |        (24, 96, 1, 1)     |               |
|        backbone.body.trunk2.fbnetv2_2_2.se.se.0.conv.bias                        |        (24,)              |               |
|       backbone.body.trunk2.fbnetv2_2_2.se.se.1                                   |       2.4K                |       2.304K  |
